,source,destination,weight
0,0,1,4.8
1,0,2,5.7
2,0,3,8.8
3,0,4,4.2
4,0,5,4.6
5,0,6,5.3
6,0,7,6.1
7,0,8,6.9
8,0,9,6.1
9,1,0,5.1
10,1,2,0.85
11,1,3,3.8
12,1,4,3.5
13,1,5,2.9
14,1,6,6.6
15,1,7,5.4
16,1,8,1.6
17,1,9,1.6
18,2,0,5.6
19,2,1,0.9
20,2,3,2.6
21,2,4,3.7
22,2,5,3
23,2,6,6.4
24,2,7,5.5
25,2,8,0.8
26,2,9,1.7
27,3,0,8.7
28,3,1,4.2
29,3,2,2.8
30,3,4,5.3
31,3,5,4.7
32,3,6,9.2
33,3,7,7.2
34,3,8,2.7
35,3,9,2.8
36,4,0,4.1
37,4,1,3.3
38,4,2,3.1
39,4,3,5.5
40,4,5,1.1
41,4,6,6.9
42,4,7,2.9
43,4,8,3.6
44,4,9,5
45,5,0,4.6
46,5,1,3.4
47,5,2,3.2
48,5,3,4.8
49,5,4,1.3
50,5,6,7.3
51,5,7,2.9
52,5,8,2.9
53,5,9,4.9
54,6,0,5.4
55,6,1,5.6
56,6,2,6.4
57,6,3,9
58,6,4,7.4
59,6,5,7.8
60,6,7,9.4
61,6,8,7.1
62,6,9,7
63,7,0,6.1
64,7,1,5.6
65,7,2,5.2
66,7,3,5.8
67,7,4,3.6
68,7,5,3
69,7,6,8.9
70,7,8,4.7
71,7,9,6.5
72,8,0,6.3
73,8,1,1.6
74,8,2,0.8
75,8,3,2.7
76,8,4,2.9
77,8,5,2.3
78,8,6,7.7
79,8,7,4.7
80,8,9,2.3
81,9,0,6
82,9,1,1.9
83,9,2,2.2
84,9,3,3
85,9,4,5.6
86,9,5,5.2
87,9,6,6.9
88,9,7,7.6
89,9,8,2.9
